airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No Info,9345
Air India,2019-06-09,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,3100
Air India,2019-06-06,Kolkata,Banglore,08:20:00,21:50:00,810,2.0,No Info,10697
Spicejet,2019-06-06,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Jet Airways,2019-05-12,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,7064
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,11467
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7485
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,11:25:00,750,1.0,In-flight meal not included,11087
Indigo,2019-06-12,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,6104
Air India,2019-03-09,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,8851
Air India,2019-04-21,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,5438
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,23:35:00,1585,1.0,In-flight meal not included,10844
Indigo,2019-06-09,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Indigo,2019-05-12,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Multiple Carriers,2019-06-09,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,15629
Air India,2019-05-24,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,13873
Air India,2019-04-01,Kolkata,Banglore,16:45:00,12:00:00,1155,2.0,No Info,9920
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No Info,8662
Air India,2019-03-27,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No Info,6057
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,No Info,13941
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No Info,9345
Indigo,2019-06-15,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,5883
Goair,2019-05-03,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,4239
Air India,2019-05-06,Kolkata,Banglore,20:30:00,08:55:00,745,1.0,No Info,10203
Indigo,2019-06-03,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No Info,6493
Jet Airways,2019-06-12,Delhi,Cochin,09:25:00,12:35:00,1630,2.0,No Info,13882
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,7198
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Multiple Carriers,2019-05-01,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,15373
Spicejet,2019-04-24,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,19:00:00,1775,2.0,No Info,16704
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,19:15:00,730,1.0,In-flight meal not included,12927
Jet Airways,2019-05-09,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,7757
Indigo,2019-05-09,Kolkata,Banglore,07:10:00,12:40:00,330,1.0,No Info,4864
Goair,2019-03-03,Banglore,New Delhi,15:45:00,20:15:00,270,1.0,No Info,8352
Spicejet,2019-06-24,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3625
Air India,2019-03-27,Delhi,Cochin,13:05:00,07:40:00,1115,2.0,No Info,8875
Vistara,2019-03-03,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,8001
Spicejet,2019-03-15,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No check-in baggage included,3815
Jet Airways,2019-06-03,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,10368
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,In-flight meal not included,10844
Air India,2019-05-15,Kolkata,Banglore,19:00:00,11:05:00,965,1.0,No Info,6117
Jet Airways,2019-05-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,3210
Air India,2019-05-15,Kolkata,Banglore,10:00:00,13:45:00,1665,2.0,No Info,16057
Multiple Carriers,2019-06-09,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18485
Indigo,2019-05-12,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Air India,2019-05-21,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Spicejet,2019-05-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-01,Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,7198
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,In-flight meal not included,8066
Jet Airways,2019-05-15,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Multiple Carriers,2019-06-09,Delhi,Cochin,02:15:00,11:30:00,555,1.0,No Info,13587
Vistara,2019-04-15,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,No Info,13941
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,12681
Indigo,2019-03-09,Banglore,New Delhi,08:30:00,11:30:00,180,0.0,No Info,7648
Air India,2019-05-09,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,8918
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,No Info,13044
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,14781
Indigo,2019-06-15,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6818
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,21:20:00,1350,1.0,No Info,25735
Air India,2019-03-06,Mumbai,Hyderabad,13:30:00,16:55:00,205,2.0,No Info,18797
Spicejet,2019-06-15,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Jet Airways,2019-06-21,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Air India,2019-04-12,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,5911
Vistara,2019-05-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Multiple Carriers,2019-05-18,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,8476
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,7757
Multiple Carriers,2019-06-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,In-flight meal not included,6007
Air India,2019-05-15,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,11:25:00,340,1.0,Business class,79512
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,9187
Air India,2019-05-12,Kolkata,Banglore,09:25:00,11:10:00,1545,1.0,No Info,8891
Vistara,2019-04-18,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Multiple Carriers,2019-06-03,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,14151
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,No Info,14388
Air India,2019-05-01,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,10991
Jet Airways,2019-03-06,Delhi,Cochin,13:55:00,04:25:00,870,1.0,In-flight meal not included,13843
Goair,2019-03-15,Banglore,New Delhi,15:45:00,20:15:00,270,1.0,No Info,7657
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,11627
Indigo,2019-05-09,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,4392
Spicejet,2019-05-27,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Indigo,2019-03-21,Delhi,Cochin,08:35:00,22:20:00,825,1.0,No Info,6790
Vistara,2019-05-09,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Air India,2019-05-18,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Jet Airways,2019-06-09,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No Info,14714
Jet Airways,2019-06-12,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,8016
Air India,2019-04-18,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5510
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,10:45:00,300,1.0,No Info,12284
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,13067
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No Info,14388
Jet Airways,2019-06-03,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,13:15:00,375,1.0,No Info,12284
Jet Airways,2019-05-09,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,12373
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,12647
Jet Airways,2019-05-09,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,12373
Multiple Carriers,2019-06-12,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,10678
Jet Airways,2019-03-09,Delhi,Cochin,17:25:00,18:50:00,1525,1.0,No Info,16289
Indigo,2019-06-01,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No Info,6674
Air India,2019-06-15,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Spicejet,2019-04-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,No Info,14571
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,09:30:00,635,1.0,No Info,13817
Air India,2019-03-15,Banglore,New Delhi,06:10:00,08:55:00,165,0.0,No Info,7276
Air India,2019-06-12,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,13381
Air India,2019-06-27,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,8839
Indigo,2019-03-03,Banglore,New Delhi,05:25:00,10:10:00,285,1.0,No Info,7774
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,13:15:00,315,1.0,In-flight meal not included,9134
Multiple Carriers,2019-06-09,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7530
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,7064
Spicejet,2019-03-21,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No Info,1759
Jet Airways,2019-05-24,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,6144
Multiple Carriers,2019-06-27,Delhi,Cochin,12:50:00,21:00:00,490,1.0,In-flight meal not included,6007
Multiple Carriers,2019-06-27,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7155
Air India,2019-04-01,Kolkata,Banglore,20:30:00,23:15:00,1605,1.0,No Info,7211
Spicejet,2019-06-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Goair,2019-04-03,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,4725
Indigo,2019-03-06,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,14871
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,04:25:00,2820,2.0,No Info,20064
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No Info,14781
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,7064
Air India,2019-04-18,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,5228
Goair,2019-03-15,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,5706
Indigo,2019-05-21,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,20:20:00,1290,1.0,In-flight meal not included,11087
Air Asia,2019-05-27,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6152
Vistara,2019-06-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Indigo,2019-03-06,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,3175
Indigo,2019-04-12,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4174
Indigo,2019-06-15,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No Info,6582
Indigo,2019-03-21,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No Info,4326
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-09,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,8266
Multiple Carriers,2019-06-01,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,13377
Vistara,2019-03-06,Mumbai,Hyderabad,20:55:00,22:55:00,1560,1.0,No Info,12395
Air India,2019-06-12,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Jet Airways,2019-03-21,Banglore,New Delhi,08:00:00,20:20:00,740,1.0,In-flight meal not included,7832
Air Asia,2019-05-03,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,6181
Multiple Carriers,2019-03-27,Delhi,Cochin,07:10:00,22:20:00,910,1.0,No Info,6145
Multiple Carriers,2019-05-21,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,14067
Air India,2019-04-01,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,12125
Jet Airways,2019-06-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Multiple Carriers,2019-03-01,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,36983
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,In-flight meal not included,9314
Indigo,2019-04-12,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4990
Spicejet,2019-05-21,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3311
Jet Airways,2019-03-27,Delhi,Cochin,17:30:00,19:45:00,1575,1.0,In-flight meal not included,5406
Air India,2019-03-21,Delhi,Cochin,19:00:00,19:15:00,1455,1.0,No Info,6587
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,10262
Spicejet,2019-04-24,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No Info,4957
Air India,2019-06-24,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,9548
Multiple Carriers,2019-03-06,Delhi,Cochin,13:00:00,21:00:00,480,1.0,In-flight meal not included,15136
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,12557
Indigo,2019-05-18,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3717
Air India,2019-06-27,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,14431
Air Asia,2019-05-12,Kolkata,Banglore,07:35:00,19:25:00,710,1.0,No Info,5320
Indigo,2019-03-15,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,6297
Multiple Carriers,2019-06-01,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,10261
Indigo,2019-05-21,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,7318
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,12:25:00,900,1.0,No Info,13817
Air India,2019-03-01,Banglore,New Delhi,22:00:00,13:20:00,920,1.0,No Info,21130
Jet Airways,2019-05-18,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,15554
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,14441
Air India,2019-06-09,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,No Info,7662
Jet Airways,2019-03-27,Delhi,Cochin,20:50:00,19:45:00,1375,1.0,No Info,12032
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,04:45:00,1220,1.0,No Info,13759
Indigo,2019-03-21,Delhi,Cochin,07:35:00,22:20:00,885,1.0,No Info,6558
Jet Airways,2019-06-24,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,10262
Jet Airways,2019-03-06,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,9536
Vistara,2019-05-06,Kolkata,Banglore,20:20:00,22:40:00,1580,1.0,No Info,8452
Indigo,2019-06-21,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Indigo,2019-06-01,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No Info,6582
Vistara,2019-06-12,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,In-flight meal not included,10539
Indigo,2019-06-15,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Air India,2019-03-09,Banglore,New Delhi,06:50:00,12:15:00,325,1.0,No Info,5118
Air India,2019-03-06,Mumbai,Hyderabad,06:00:00,09:10:00,1630,2.0,No Info,13169
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,8452
Vistara,2019-06-15,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Jet Airways,2019-06-15,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,7229
Spicejet,2019-06-09,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-05-03,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Jet Airways,2019-05-21,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,13029
Indigo,2019-06-03,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-03-01,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,No Info,26890
Air India,2019-03-15,Banglore,New Delhi,21:10:00,23:55:00,165,0.0,No Info,8851
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,12:35:00,910,2.0,No Info,13292
Multiple Carriers,2019-05-18,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,10197
Spicejet,2019-06-24,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5583
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,11507
Multiple Carriers,2019-03-03,Delhi,Cochin,07:05:00,15:30:00,505,1.0,No Info,17057
Indigo,2019-03-03,Delhi,Cochin,14:30:00,17:35:00,185,0.0,No Info,7673
Air India,2019-05-21,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,7480
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,10844
Spicejet,2019-04-03,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,1759
Jet Airways,2019-03-01,Banglore,New Delhi,08:55:00,05:05:00,1210,1.0,1 Long layover,26890
Air India,2019-05-15,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No Info,8669
Indigo,2019-05-09,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Air India,2019-03-21,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,7532
Indigo,2019-05-18,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-03-27,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,6017
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,In-flight meal not included,10844
Indigo,2019-06-06,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,6711
Multiple Carriers,2019-06-15,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,10678
Air Asia,2019-04-12,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4409
Spicejet,2019-03-03,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No Info,6251
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,16:20:00,1575,1.0,In-flight meal not included,10844
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,23:35:00,1720,1.0,In-flight meal not included,7064
Indigo,2019-05-06,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,3342
